baseline,delta
ocsvm,0.01503437
ocsvm,0.0133588
ocsvm,0.00903983
ocsvm,0.00391227
ocsvm,0.00700836
ocsvm,0.00447112
ocsvm,0.0184995
ocsvm,0.01032746
ocsvm,0.01544997
ocsvm,0.00975436
ocsvm,0.01263819
ocsvm,0.01086024
ocsvm,0.00586824
ocsvm,0.00744937
ocsvm,0.01148866
ocsvm,0.0036537
ocsvm,0.00696132
ocsvm,0.0066596
ocsvm,0.00517827
ocsvm,0.00845069
ocsvm,0.00985738
ocsvm,0.00759464
ocsvm,0.01234183
ocsvm,0.00510887
ocsvm,0.01991242
ocsvm,0.00969008
ocsvm,0.01085642
ocsvm,0.00615373
ocsvm,0.00971472
ocsvm,0.01793096
ocsvm,0.01492277
ocsvm,0.0070789
ocsvm,0.0172622
ocsvm,0.00556607
ocsvm,0.00462425
ocsvm,0.01422026
ocsvm,0.01327227
ocsvm,0.00636165
ocsvm,0.00714507
ocsvm,0.01010358
ocsvm,0.01332776
ocsvm,0.01363268
ocsvm,0.00998514
ocsvm,0.01540328
ocsvm,0.01441427
ocsvm,0.01347838
ocsvm,0.02143845
ocsvm,0.01339466
ocsvm,0.01185553
ocsvm,0.008915
ocsvm,0.01614417
ocsvm,0.0097932
ocsvm,0.00567603
ocsvm,0.01306091
ocsvm,0.01151091
ocsvm,0.0088099
ocsvm,0.01219106
ocsvm,0.01254956
ocsvm,0.0052198
ocsvm,0.0099929
ocsvm,0.00622203
ocsvm,0.01124575
ocsvm,0.01528537
ocsvm,0.01039381
ocsvm,0.00614029
ocsvm,0.01240942
ocsvm,0.01334343
ocsvm,0.00893669
ocsvm,0.00673222
ocsvm,0.01277148
ocsvm,0.01581059
ocsvm,0.00824297
ocsvm,0.00456018
ocsvm,0.01033958
ocsvm,0.00336805
ocsvm,0.01162959
ocsvm,0.00757035
ocsvm,0.01249056
ocsvm,0.00381016
ocsvm,0.00886519
ocsvm,0.01509371
ocsvm,0.01161317
ocsvm,0.01163836
ocsvm,0.01065027
ocsvm,0.01265019
ocsvm,0.00604925
ocsvm,0.00537552
ocsvm,0.01304314
ocsvm,-0.00130518
ocsvm,0.01162009
ocsvm,0.00821662
ocsvm,0.0090205
ocsvm,0.01088441
ocsvm,9.632e-05
ocsvm,0.01112436
ocsvm,0.00689819
ocsvm,0.01188389
ocsvm,0.01190569
ocsvm,0.01215823
ocsvm,0.00851557
ocsvm,0.00687774
ocsvm,0.0020725
ocsvm,0.00732136
ocsvm,0.01275363
ocsvm,0.01079576
ocsvm,0.01075873
ocsvm,0.00440532
ocsvm,0.01026948
ocsvm,0.01084401
ocsvm,0.0100986
ocsvm,0.01197542
ocsvm,0.00753146
ocsvm,0.00771301
ocsvm,0.00780705
ocsvm,0.01015153
ocsvm,0.00506175
ocsvm,0.01130972
ocsvm,0.00720612
ocsvm,0.00693261
ocsvm,0.00625747
ocsvm,0.0096926
ocsvm,0.01156754
ocsvm,0.00726566
ocsvm,0.00875569
ocsvm,0.0118201
ocsvm,0.0090334
ocsvm,0.01288381
ocsvm,0.00929988
ocsvm,0.01209579
ocsvm,0.01478839
ocsvm,0.00597861
ocsvm,0.0211183
ocsvm,0.01372532
ocsvm,0.00947346
ocsvm,0.01013701
ocsvm,0.00780714
ocsvm,0.00913827
ocsvm,0.01189026
ocsvm,0.01410452
ocsvm,0.01136571
ocsvm,0.01208989
ocsvm,0.00479302
ocsvm,0.01205031
ocsvm,0.01240562
ocsvm,0.002685
ocsvm,0.00775085
ocsvm,0.01031939
ocsvm,0.01616309
ocsvm,0.0147985
ocsvm,0.01438942
ocsvm,0.01335187
ocsvm,0.00794741
ocsvm,0.00607875
ocsvm,0.00430434
ocsvm,0.01728961
ocsvm,0.01016237
ocsvm,0.00651621
ocsvm,0.0109262
ocsvm,0.00599692
ocsvm,0.00729638
ocsvm,0.01096761
ocsvm,0.00983088
ocsvm,0.00813072
ocsvm,0.01089267
ocsvm,0.0075604
ocsvm,0.01263072
ocsvm,0.00911376
ocsvm,0.00760552
ocsvm,0.01241288
ocsvm,0.00860428
ocsvm,0.01014452
ocsvm,0.01429968
ocsvm,0.01506228
ocsvm,0.00773444
ocsvm,0.01014011
ocsvm,0.01609655
ocsvm,0.01429436
ocsvm,0.00496843
ocsvm,0.01176263
ocsvm,0.01121525
ocsvm,0.01668194
ocsvm,0.01311731
ocsvm,0.01430996
ocsvm,0.01047687
ocsvm,0.01081792
ocsvm,0.00725389
ocsvm,0.0076685
ocsvm,0.00592585
ocsvm,0.01685924
ocsvm,0.01447933
ocsvm,0.00950139
ocsvm,0.01358899
ocsvm,0.00781982
ocsvm,0.01159124
ocsvm,0.01328597
ocsvm,0.01040516
ocsvm,0.00967235
ocsvm,0.01071853
ocsvm,0.01499946
ocsvm,0.00813371
ocsvm,0.00770124
ocsvm,0.00811405
ocsvm,0.01301551
ocsvm,0.01038198
ocsvm,0.00724128
ocsvm,0.01287437
ocsvm,0.01028331
ocsvm,0.00957055
ocsvm,0.01153898
ocsvm,0.01168723
ocsvm,0.00578729
ocsvm,0.02048829
ocsvm,0.00552232
ocsvm,0.01060576
ocsvm,0.00171758
ocsvm,0.0068799
ocsvm,0.00885778
ocsvm,0.0139233
ocsvm,0.01132962
ocsvm,0.00980907
ocsvm,0.01357682
ocsvm,0.00575192
ocsvm,0.00944009
ocsvm,0.00943558
ocsvm,0.0128331
ocsvm,0.00958385
ocsvm,0.00883268
ocsvm,0.01500757
ocsvm,0.01306902
ocsvm,0.0180795
ocsvm,0.00909693
ocsvm,0.01356631
ocsvm,0.01152034
ocsvm,0.00815239
ocsvm,0.01122575
ocsvm,0.01048619
ocsvm,0.00965702
ocsvm,0.00474321
ocsvm,0.00724823
ocsvm,0.00591704
ocsvm,0.00286386
ocsvm,0.00547705
ocsvm,0.01231955
ocsvm,0.01041122
ocsvm,0.00840094
ocsvm,0.01139192
ocsvm,0.01091491
ocsvm,0.0061013
ocsvm,0.00661917
ocsvm,0.0031583
ocsvm,0.01028726
ocsvm,0.0050407
ocsvm,0.00257558
ocsvm,0.01011106
ocsvm,0.00934702
ocsvm,0.0028449
ocsvm,0.00731737
ocsvm,0.01270185
ocsvm,0.00896993
ocsvm,0.00914512
ocsvm,0.01043064
ocsvm,0.00621162
ocsvm,0.0085531
ocsvm,0.00789849
ocsvm,0.00891984
ocsvm,0.01244913
ocsvm,0.01173433
ocsvm,0.00683712
ocsvm,0.00848143
ocsvm,0.01487264
ocsvm,0.01367359
ocsvm,0.0092908
ocsvm,0.00744764
ocsvm,0.00380942
ocsvm,0.01462811
ocsvm,0.00833403
ocsvm,0.01372538
ocsvm,0.00854684
ocsvm,0.00682398
ocsvm,0.01549866
ocsvm,0.0095032
ocsvm,0.0085466
ocsvm,0.00578449
ocsvm,0.01381993
ocsvm,0.014384
ocsvm,0.00619205
ocsvm,0.00466723
ocsvm,0.01377432
ocsvm,0.01166971
ocsvm,0.00656018
ocsvm,0.0121526
ocsvm,0.0011486
ocsvm,0.01044481
ocsvm,0.00652931
ocsvm,0.01005829
ocsvm,0.00748887
ocsvm,0.00527961
ocsvm,0.01191051
ocsvm,0.01249053
ocsvm,0.00918547
ocsvm,0.0114731
ocsvm,0.01128224
ocsvm,0.01280999
ocsvm,0.01450109
ocsvm,0.01668588
ocsvm,0.00924801
ocsvm,0.01070889
ocsvm,0.0044588
ocsvm,0.00936935
ocsvm,0.00650227
ocsvm,0.00896711
ocsvm,0.00926966
ocsvm,0.00739636
ocsvm,0.01211912
ocsvm,0.00977184
ocsvm,0.00376681
ocsvm,0.01319157
ocsvm,0.01192875
ocsvm,0.00701257
ocsvm,0.00374401
ocsvm,0.01180585
ocsvm,0.01682562
ocsvm,0.01173534
ocsvm,0.01333017
ocsvm,0.01276666
ocsvm,0.00876408
ocsvm,0.00509494
ocsvm,0.00558799
ocsvm,0.00806747
ocsvm,0.00985903
ocsvm,0.01086384
ocsvm,0.01139341
ocsvm,0.00789839
ocsvm,0.01493679
ocsvm,0.01743394
ocsvm,0.00821303
ocsvm,0.01646703
ocsvm,0.00626475
ocsvm,0.00913807
ocsvm,0.01167576
ocsvm,0.01069129
ocsvm,0.01404329
ocsvm,0.00726579
ocsvm,0.00955763
ocsvm,0.01120887
ocsvm,0.00814363
ocsvm,0.01117175
ocsvm,0.0060197
ocsvm,0.00859644
ocsvm,0.00691493
ocsvm,0.00653359
ocsvm,0.00354399
ocsvm,0.01670197
ocsvm,0.00554144
ocsvm,0.00712218
ocsvm,0.00645043
ocsvm,0.00622152
ocsvm,0.00503729
ocsvm,0.00914727
ocsvm,0.00990793
ocsvm,0.01003321
ocsvm,0.01599172
ocsvm,0.00471424
ocsvm,0.01414049
ocsvm,0.00902847
ocsvm,0.01423084
ocsvm,0.0099651
ocsvm,0.00952242
ocsvm,0.00788076
ocsvm,0.00701568
ocsvm,0.01027231
ocsvm,0.00548547
ocsvm,0.00527444
ocsvm,0.0117365
ocsvm,0.0115069
ocsvm,0.01314335
ocsvm,0.01370369
ocsvm,0.00828608
ocsvm,0.01194188
ocsvm,0.0062415
ocsvm,0.00934965
ocsvm,0.01209442
ocsvm,0.01120942
ocsvm,0.00512197
ocsvm,0.01366878
ocsvm,0.01343435
ocsvm,0.008249
ocsvm,0.01165747
ocsvm,0.00483337
ocsvm,0.00854668
ocsvm,0.01265135
ocsvm,0.00354594
ocsvm,0.00854198
ocsvm,0.00924352
ocsvm,0.00469774
ocsvm,0.00589262
ocsvm,0.01210891
ocsvm,0.01034652
ocsvm,0.01349922
ocsvm,0.01234067
ocsvm,0.00941913
ocsvm,0.00935758
ocsvm,0.01642631
ocsvm,0.01254603
ocsvm,0.01291649
ocsvm,0.01919091
ocsvm,0.01166263
ocsvm,0.01416853
ocsvm,0.00933173
ocsvm,0.01454412
ocsvm,0.01514384
ocsvm,0.00901338
ocsvm,0.00785835
ocsvm,0.01190098
ocsvm,0.00551911
ocsvm,0.00878413
ocsvm,0.01286522
ocsvm,0.00821219
ocsvm,0.00443927
ocsvm,0.00829689
ocsvm,0.01236695
ocsvm,0.00998231
ocsvm,0.01091396
ocsvm,0.01667533
